cell,orig.ident,nCount_gene,nFeature_gene,nCount_RNA,nFeature_RNA,sample_id,sample_id_1,tissue_type,Kit_ID,Kit_sample,Seq_Number,Tissue.Type,Prep.Method,Prep.Number,Age,Time.Group,Poor_Read_Number,Moderate_Alignment,Rod_Cells,Possible_Rods,Non_Photoreceptors,Collection_Method,Outliers,VSX2_Outlier,X9_Cluster_Green_Rods,HR_Cluster_LB,HR_Cluster_Black,HR_Cluster_LG,HR_Cluster_DG,HR_Cluster_Pink,Cluster_Color,Fetal_Age,Old_Seq_Number,Old_Seq_Kit_ID,excluded_because,batch,names,type,gene_snn_res.0.2,seurat_clusters,gene_snn_res.0.4,gene_snn_res.0.6,gene_snn_res.0.8,gene_snn_res.1,gene_snn_res.1.2,gene_snn_res.1.4,gene_snn_res.1.6,gene_snn_res.1.8,gene_snn_res.2,read_count,percent.mt,nCount_transcript,nFeature_transcript,transcript_snn_res.0.2,transcript_snn_res.0.4,transcript_snn_res.0.6,transcript_snn_res.0.8,transcript_snn_res.1,transcript_snn_res.1.2,transcript_snn_res.1.4,transcript_snn_res.1.6,transcript_snn_res.1.8,transcript_snn_res.2,ident
ds20181001-0482,ds20181001,147370.04884069882,1157,680592.933901254,7113,ds20181001-0482,ds20181001-0482,organoid,2B,2,3,Organoid,Kuwahara,115,112,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0482,PE,1,3,1,0,0,0,3,1,1,1,3,NA,0.3385474980529383,146645.1930630646,2895,1,1,0,0,3,3,2,1,7,7,3
ds20181001-0485,ds20181001,185709.43460775595,1473,896877.257116683,9057,ds20181001-0485,ds20181001-0485,organoid,2B,5,3,Organoid,Kuwahara,115,112,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0485,PE,0,11,0,1,1,1,6,8,5,10,11,NA,0.13199062189783625,185403.6010253923,3782,0,0,2,2,0,1,3,2,1,1,11
ds20181001-0489,ds20181001,287743.2240590088,1156,1331604.68986125,6969,ds20181001-0489,ds20181001-0489,organoid,2B,9,3,Organoid,Kuwahara,115,112,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0489,PE,1,0,4,4,4,4,4,3,3,2,0,NA,0.21165000325251043,287010.08986939443,3234,1,1,0,0,3,3,2,1,7,7,0
ds20181001-0490,ds20181001,404963.42716190236,1056,1903163.73240625,6348,ds20181001-0490,ds20181001-0490,organoid,2B,10,3,Organoid,Kuwahara,115,112,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0490,PE,1,4,1,0,0,0,3,4,4,5,4,NA,0.407962014186031,403824.29792889394,2879,1,1,0,0,2,2,0,3,2,2,4
ds20181001-0491,ds20181001,402241.2532918381,1098,1670120.40617966,6278,ds20181001-0491,ds20181001-0491,organoid,2B,11,3,Organoid,Kuwahara,115,112,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0491,PE,1,3,1,0,0,0,3,1,1,1,3,NA,0.7346404581186983,402130.26159980707,2927,1,3,3,3,3,3,2,1,9,10,3
ds20181001-0492,ds20181001,563497.3372754183,1636,2573080.68941851,9743,ds20181001-0492,ds20181001-0492,organoid,2B,12,3,Organoid,Kuwahara,115,112,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0492,PE,1,3,1,0,0,0,3,1,1,1,3,NA,0.29497793544880513,562834.0775654535,4893,1,3,3,3,3,3,2,1,9,10,3
ds20181001-0493,ds20181001,547334.7275530449,1460,2272669.36597676,8724,ds20181001-0493,ds20181001-0493,organoid,2B,13,3,Organoid,Kuwahara,116,113,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0493,PE,1,0,4,4,4,4,4,3,3,2,0,NA,0.5329647097884542,545839.0438411146,4279,1,3,3,3,4,5,5,5,4,4,0
ds20181001-0494,ds20181001,508387.4165891548,1090,2283195.54443046,6674,ds20181001-0494,ds20181001-0494,organoid,2B,14,3,Organoid,Kuwahara,116,113,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0494,PE,0,11,0,1,1,1,6,8,5,10,11,NA,0.24898631232640991,508237.90000374685,3005,2,4,4,4,5,6,6,6,5,5,11
ds20181001-0495,ds20181001,365737.24899553374,1285,1885961.2479979,7817,ds20181001-0495,ds20181001-0495,organoid,2B,15,3,Organoid,Kuwahara,116,113,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0495,PE,1,4,1,0,0,0,5,4,4,5,4,NA,0.3903299198937036,363621.0819839641,3443,1,1,0,0,2,2,0,3,2,2,4
ds20181001-0496,ds20181001,461815.13780819555,1555,1927740.15616155,9165,ds20181001-0496,ds20181001-0496,organoid,2B,16,3,Organoid,Kuwahara,116,113,5,NA,NA,NA,NA,NA,FACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,keep,ds20181001_organoid,ds20181001-0496,PE,2,6,3,3,3,3,1,7,8,7,6,NA,0.3936481807631116,461249.95460790413,4355,2,4,4,4,5,6,6,6,5,5,6
